question,answer,difficulty,questionLanguageId,explanationId,canonicalProblemId
"Find the lowest term form of 36/48.","3/4","Medium","QL-009","ES-001","CP-001"
"Write 5/7 in lowest form.","5/7","Medium","QL-004","ES-001","CP-001"
"Simplify 3/8.","3/8","Hard","QL-001","ES-001","CP-001"
"Simplify 3/8.","3/8","Easy","QL-001","ES-001","CP-001"
"Write 5/7 in lowest form.","5/7","Easy","QL-004","ES-001","CP-001"
"Find the lowest term form of 36/48.","3/4","Medium","QL-009","ES-001","CP-001"
"Reduce 11/6 to its lowest terms.","11/6","Easy","QL-002","ES-001","CP-001"
"Find the simplified form of 3/8.","3/8","Hard","QL-005","ES-001","CP-001"
"Express 5/7 as a simplified fraction.","5/7","Medium","QL-010","ES-001","CP-001"
"Express 36/48 in simplest form.","3/4","Hard","QL-003","ES-001","CP-001"
"Reduce 11/6 to its lowest terms.","11/6","Medium","QL-002","ES-001","CP-001"
"Simplify the given fraction: 3/8.","3/8","Easy","QL-007","ES-001","CP-001"
"Express 5/7 as a simplified fraction.","5/7","Medium","QL-010","ES-001","CP-001"
"Reduce 11/6 to its lowest terms.","11/6","Easy","QL-002","ES-001","CP-001"
"Find the lowest term form of 36/48.","3/4","Medium","QL-009","ES-001","CP-001"
"Express 5/7 as a simplified fraction.","5/7","Easy","QL-010","ES-001","CP-001"
"Express 3/8 in simplest form.","3/8","Medium","QL-003","ES-001","CP-001"
"Write 11/6 in lowest form.","11/6","Easy","QL-004","ES-001","CP-001"
"Simplify 36/48.","3/4","Easy","QL-001","ES-001","CP-001"
"Write 5/7 in lowest form.","5/7","Medium","QL-004","ES-001","CP-001"
"Simplify the given fraction: 3/8.","3/8","Easy","QL-007","ES-001","CP-001"
"Write 11/6 in lowest form.","11/6","Medium","QL-004","ES-001","CP-001"
"Find the simplified form of 36/48.","3/4","Easy","QL-005","ES-001","CP-001"
"Reduce the fraction 11/6.","11/6","Easy","QL-006","ES-001","CP-001"
"Simplify the given fraction: 36/48.","3/4","Hard","QL-007","ES-001","CP-001"
"Reduce 5/7 to its lowest terms.","5/7","Medium","QL-002","ES-001","CP-001"
"Find the simplified form of 3/8.","3/8","Medium","QL-005","ES-001","CP-001"
"Write 11/6 after cancelling common factors.","11/6","Hard","QL-008","ES-001","CP-001"
"Express 36/48 in simplest form.","3/4","Easy","QL-003","ES-001","CP-001"
"Write 5/7 after cancelling common factors.","5/7","Medium","QL-008","ES-001","CP-001"
"Simplify 3/8.","3/8","Medium","QL-001","ES-001","CP-001"
"Write 11/6 in lowest form.","11/6","Easy","QL-004","ES-001","CP-001"
"Express 36/48 in simplest form.","3/4","Hard","QL-003","ES-001","CP-001"
"Simplify the given fraction: 3/8.","3/8","Easy","QL-007","ES-001","CP-001"
"Express 5/7 as a simplified fraction.","5/7","Easy","QL-010","ES-001","CP-001"
"Find the simplified form of 36/48.","3/4","Medium","QL-005","ES-001","CP-001"
"Reduce 11/6 to its lowest terms.","11/6","Medium","QL-002","ES-001","CP-001"
"Simplify 3/8.","3/8","Hard","QL-001","ES-001","CP-001"
"Write 5/7 in lowest form.","5/7","Easy","QL-004","ES-001","CP-001"
"Simplify 36/48.","3/4","Medium","QL-001","ES-001","CP-001"
"Reduce the fraction 11/6.","11/6","Hard","QL-006","ES-001","CP-001"
"Find the simplified form of 3/8.","3/8","Easy","QL-005","ES-001","CP-001"
"Reduce 5/7 to its lowest terms.","5/7","Medium","QL-002","ES-001","CP-001"
"Write 5/7 after cancelling common factors.","5/7","Medium","QL-008","ES-001","CP-001"
"Find the simplified form of 3/8.","3/8","Medium","QL-005","ES-001","CP-001"
"Write 11/6 in lowest form.","11/6","Easy","QL-004","ES-001","CP-001"
"Find the simplified form of 36/48.","3/4","Medium","QL-005","ES-001","CP-001"
"Express 5/7 as a simplified fraction.","5/7","Hard","QL-010","ES-001","CP-001"
"Express 3/8 in simplest form.","3/8","Medium","QL-003","ES-001","CP-001"
"Write 11/6 after cancelling common factors.","11/6","Medium","QL-008","ES-001","CP-001"
"Simplify 36/48.","3/4","Hard","QL-001","ES-001","CP-001"
"Express 5/7 as a simplified fraction.","5/7","Hard","QL-010","ES-001","CP-001"
"Express 3/8 in simplest form.","3/8","Easy","QL-003","ES-001","CP-001"
"Simplify 36/48.","3/4","Hard","QL-001","ES-001","CP-001"
"Reduce 11/6 to its lowest terms.","11/6","Hard","QL-002","ES-001","CP-001"
"Express 3/8 in simplest form.","3/8","Easy","QL-003","ES-001","CP-001"
"Reduce 5/7 to its lowest terms.","5/7","Easy","QL-002","ES-001","CP-001"
"Simplify 36/48.","3/4","Medium","QL-001","ES-001","CP-001"
"Write 11/6 after cancelling common factors.","11/6","Easy","QL-008","ES-001","CP-001"
"Simplify the given fraction: 3/8.","3/8","Medium","QL-007","ES-001","CP-001"
"Reduce the fraction 5/7.","5/7","Easy","QL-006","ES-001","CP-001"
"Express 36/48 in simplest form.","3/4","Medium","QL-003","ES-001","CP-001"
"Reduce 11/6 to its lowest terms.","11/6","Easy","QL-002","ES-001","CP-001"
"Write 11/6 after cancelling common factors.","11/6","Medium","QL-008","ES-001","CP-001"
"Find the lowest term form of 36/48.","3/4","Easy","QL-009","ES-001","CP-001"
"Express 5/7 as a simplified fraction.","5/7","Easy","QL-010","ES-001","CP-001"
"Find the lowest term form of 3/8.","3/8","Easy","QL-009","ES-001","CP-001"
"Write 11/6 after cancelling common factors.","11/6","Easy","QL-008","ES-001","CP-001"
"Express 36/48 in simplest form.","3/4","Medium","QL-003","ES-001","CP-001"
"Write 5/7 in lowest form.","5/7","Medium","QL-004","ES-001","CP-001"
"Express 3/8 in simplest form.","3/8","Hard","QL-003","ES-001","CP-001"
"Write 11/6 after cancelling common factors.","11/6","Medium","QL-008","ES-001","CP-001"
"Find the lowest term form of 36/48.","3/4","Medium","QL-009","ES-001","CP-001"
"Find the lowest term form of 3/8.","3/8","Medium","QL-009","ES-001","CP-001"
"Express 5/7 as a simplified fraction.","5/7","Hard","QL-010","ES-001","CP-001"
"Simplify 36/48.","3/4","Hard","QL-001","ES-001","CP-001"
"Write 11/6 in lowest form.","11/6","Easy","QL-004","ES-001","CP-001"
"Find the simplified form of 3/8.","3/8","Medium","QL-005","ES-001","CP-001"
"Write 5/7 in lowest form.","5/7","Medium","QL-004","ES-001","CP-001"
"Simplify 36/48.","3/4","Medium","QL-001","ES-001","CP-001"
"Express 11/6 as a simplified fraction.","11/6","Easy","QL-010","ES-001","CP-001"
"Find the lowest term form of 3/8.","3/8","Medium","QL-009","ES-001","CP-001"
"Express 5/7 as a simplified fraction.","5/7","Easy","QL-010","ES-001","CP-001"
"Write 5/7 after cancelling common factors.","5/7","Medium","QL-008","ES-001","CP-001"
"Express 3/8 in simplest form.","3/8","Easy","QL-003","ES-001","CP-001"
"Write 11/6 in lowest form.","11/6","Hard","QL-004","ES-001","CP-001"
"Find the simplified form of 36/48.","3/4","Hard","QL-005","ES-001","CP-001"
"Write 5/7 after cancelling common factors.","5/7","Easy","QL-008","ES-001","CP-001"
"Find the lowest term form of 3/8.","3/8","Easy","QL-009","ES-001","CP-001"
"Write 11/6 after cancelling common factors.","11/6","Hard","QL-008","ES-001","CP-001"
"Simplify 36/48.","3/4","Medium","QL-001","ES-001","CP-001"
"Write 5/7 after cancelling common factors.","5/7","Easy","QL-008","ES-001","CP-001"
"Find the simplified form of 3/8.","3/8","Easy","QL-005","ES-001","CP-001"
"Simplify the given fraction: 36/48.","3/4","Medium","QL-007","ES-001","CP-001"
"Reduce 11/6 to its lowest terms.","11/6","Hard","QL-002","ES-001","CP-001"
"Express 3/8 in simplest form.","3/8","Medium","QL-003","ES-001","CP-001"
"Write 5/7 in lowest form.","5/7","Easy","QL-004","ES-001","CP-001"
"Find the simplified form of 36/48.","3/4","Medium","QL-005","ES-001","CP-001"
"Express 11/6 as a simplified fraction.","11/6","Medium","QL-010","ES-001","CP-001"
"Simplify the given fraction: 3/8.","3/8","Medium","QL-007","ES-001","CP-001"
"Reduce the fraction 5/7.","5/7","Hard","QL-006","ES-001","CP-001"
"Simplify 36/48.","3/4","Hard","QL-001","ES-001","CP-001"
"Reduce 11/6 to its lowest terms.","11/6","Easy","QL-002","ES-001","CP-001"
"Reduce 11/6 to its lowest terms.","11/6","Medium","QL-002","ES-001","CP-001"
"Simplify 36/48.","3/4","Medium","QL-001","ES-001","CP-001"
"Write 5/7 in lowest form.","5/7","Easy","QL-004","ES-001","CP-001"
"Simplify the given fraction: 3/8.","3/8","Hard","QL-007","ES-001","CP-001"
"Write 11/6 after cancelling common factors.","11/6","Medium","QL-008","ES-001","CP-001"
"Find the simplified form of 36/48.","3/4","Medium","QL-005","ES-001","CP-001"
"Express 5/7 as a simplified fraction.","5/7","Easy","QL-010","ES-001","CP-001"
"Express 3/8 in simplest form.","3/8","Hard","QL-003","ES-001","CP-001"
"Write 11/6 in lowest form.","11/6","Easy","QL-004","ES-001","CP-001"
"Express 36/48 in simplest form.","3/4","Medium","QL-003","ES-001","CP-001"
"Express 3/8 in simplest form.","3/8","Medium","QL-003","ES-001","CP-001"
"Write 5/7 after cancelling common factors.","5/7","Medium","QL-008","ES-001","CP-001"
"Find the simplified form of 36/48.","3/4","Easy","QL-005","ES-001","CP-001"
"Reduce 11/6 to its lowest terms.","11/6","Medium","QL-002","ES-001","CP-001"
"Simplify the given fraction: 3/8.","3/8","Easy","QL-007","ES-001","CP-001"
"Express 5/7 as a simplified fraction.","5/7","Easy","QL-010","ES-001","CP-001"
"Find the lowest term form of 36/48.","3/4","Easy","QL-009","ES-001","CP-001"
"Express 11/6 as a simplified fraction.","11/6","Easy","QL-010","ES-001","CP-001"
"Find the simplified form of 3/8.","3/8","Hard","QL-005","ES-001","CP-001"
"Write 5/7 in lowest form.","5/7","Easy","QL-004","ES-001","CP-001"
"Simplify 3/8.","3/8","Medium","QL-001","ES-001","CP-001"
"Write 5/7 in lowest form.","5/7","Hard","QL-004","ES-001","CP-001"
"Simplify 36/48.","3/4","Medium","QL-001","ES-001","CP-001"
"Express 11/6 as a simplified fraction.","11/6","Easy","QL-010","ES-001","CP-001"
"Simplify the given fraction: 3/8.","3/8","Easy","QL-007","ES-001","CP-001"
"Express 5/7 as a simplified fraction.","5/7","Medium","QL-010","ES-001","CP-001"
"Find the simplified form of 36/48.","3/4","Easy","QL-005","ES-001","CP-001"
"Write 11/6 after cancelling common factors.","11/6","Easy","QL-008","ES-001","CP-001"
"Find the lowest term form of 3/8.","3/8","Easy","QL-009","ES-001","CP-001"
"Express 5/7 as a simplified fraction.","5/7","Hard","QL-010","ES-001","CP-001"
"Express 11/6 as a simplified fraction.","11/6","Easy","QL-010","ES-001","CP-001"
"Find the simplified form of 36/48.","3/4","Easy","QL-005","ES-001","CP-001"
"Write 5/7 after cancelling common factors.","5/7","Hard","QL-008","ES-001","CP-001"
"Simplify 3/8.","3/8","Hard","QL-001","ES-001","CP-001"
"Write 11/6 in lowest form.","11/6","Medium","QL-004","ES-001","CP-001"
"Simplify 36/48.","3/4","Medium","QL-001","ES-001","CP-001"
"Write 5/7 after cancelling common factors.","5/7","Medium","QL-008","ES-001","CP-001"
"Find the simplified form of 3/8.","3/8","Easy","QL-005","ES-001","CP-001"
"Reduce the fraction 11/6.","11/6","Hard","QL-006","ES-001","CP-001"
"Find the lowest term form of 36/48.","3/4","Hard","QL-009","ES-001","CP-001"
"Find the lowest term form of 36/48.","3/4","Medium","QL-009","ES-001","CP-001"
"Express 11/6 as a simplified fraction.","11/6","Hard","QL-010","ES-001","CP-001"
"Express 3/8 in simplest form.","3/8","Medium","QL-003","ES-001","CP-001"
"Express 5/7 as a simplified fraction.","5/7","Medium","QL-010","ES-001","CP-001"
"Find the simplified form of 36/48.","3/4","Medium","QL-005","ES-001","CP-001"
"Write 11/6 after cancelling common factors.","11/6","Hard","QL-008","ES-001","CP-001"
"Find the lowest term form of 3/8.","3/8","Easy","QL-009","ES-001","CP-001"
"Write 5/7 after cancelling common factors.","5/7","Easy","QL-008","ES-001","CP-001"
"Simplify 36/48.","3/4","Easy","QL-001","ES-001","CP-001"
"Express 11/6 as a simplified fraction.","11/6","Medium","QL-010","ES-001","CP-001"
"Reduce the fraction 5/7.","5/7","Easy","QL-006","ES-001","CP-001"
"Express 3/8 in simplest form.","3/8","Easy","QL-003","ES-001","CP-001"
"Reduce 11/6 to its lowest terms.","11/6","Easy","QL-002","ES-001","CP-001"
"Simplify 36/48.","3/4","Medium","QL-001","ES-001","CP-001"
"Reduce 5/7 to its lowest terms.","5/7","Hard","QL-002","ES-001","CP-001"
"Express 3/8 in simplest form.","3/8","Easy","QL-003","ES-001","CP-001"
"Express 11/6 as a simplified fraction.","11/6","Easy","QL-010","ES-001","CP-001"
"Simplify 36/48.","3/4","Medium","QL-001","ES-001","CP-001"
"Reduce the fraction 5/7.","5/7","Medium","QL-006","ES-001","CP-001"
"Simplify 3/8.","3/8","Easy","QL-001","ES-001","CP-001"
"Express 3/8 in simplest form.","3/8","Easy","QL-003","ES-001","CP-001"
"Express 5/7 as a simplified fraction.","5/7","Easy","QL-010","ES-001","CP-001"
"Simplify the given fraction: 36/48.","3/4","Medium","QL-007","ES-001","CP-001"
"Reduce the fraction 11/6.","11/6","Hard","QL-006","ES-001","CP-001"
"Simplify the given fraction: 3/8.","3/8","Easy","QL-007","ES-001","CP-001"
"Write 5/7 in lowest form.","5/7","Hard","QL-004","ES-001","CP-001"
"Simplify 36/48.","3/4","Medium","QL-001","ES-001","CP-001"
"Reduce the fraction 11/6.","11/6","Hard","QL-006","ES-001","CP-001"
"Simplify 3/8.","3/8","Hard","QL-001","ES-001","CP-001"
"Write 5/7 after cancelling common factors.","5/7","Hard","QL-008","ES-001","CP-001"
"Write 11/6 after cancelling common factors.","11/6","Easy","QL-008","ES-001","CP-001"
"Find the simplified form of 36/48.","3/4","Medium","QL-005","ES-001","CP-001"
"Express 5/7 as a simplified fraction.","5/7","Easy","QL-010","ES-001","CP-001"
"Simplify the given fraction: 3/8.","3/8","Easy","QL-007","ES-001","CP-001"
"Write 11/6 after cancelling common factors.","11/6","Medium","QL-008","ES-001","CP-001"
"Find the lowest term form of 36/48.","3/4","Hard","QL-009","ES-001","CP-001"
"Reduce the fraction 5/7.","5/7","Medium","QL-006","ES-001","CP-001"
"Simplify the given fraction: 3/8.","3/8","Hard","QL-007","ES-001","CP-001"
"Write 11/6 in lowest form.","11/6","Medium","QL-004","ES-001","CP-001"
"Simplify the given fraction: 36/48.","3/4","Easy","QL-007","ES-001","CP-001"
"Find the simplified form of 36/48.","3/4","Easy","QL-005","ES-001","CP-001"
"Write 11/6 after cancelling common factors.","11/6","Easy","QL-008","ES-001","CP-001"
"Find the lowest term form of 3/8.","3/8","Medium","QL-009","ES-001","CP-001"
"Reduce the fraction 5/7.","5/7","Easy","QL-006","ES-001","CP-001"
"Simplify the given fraction: 36/48.","3/4","Easy","QL-007","ES-001","CP-001"
"Express 11/6 as a simplified fraction.","11/6","Easy","QL-010","ES-001","CP-001"
"Find the lowest term form of 3/8.","3/8","Easy","QL-009","ES-001","CP-001"
"Express 5/7 as a simplified fraction.","5/7","Medium","QL-010","ES-001","CP-001"
"Simplify 36/48.","3/4","Easy","QL-001","ES-001","CP-001"
"Express 11/6 as a simplified fraction.","11/6","Medium","QL-010","ES-001","CP-001"
"Express 5/7 as a simplified fraction.","5/7","Medium","QL-010","ES-001","CP-001"
"Simplify 3/8.","3/8","Easy","QL-001","ES-001","CP-001"
"Write 11/6 after cancelling common factors.","11/6","Easy","QL-008","ES-001","CP-001"
"Find the lowest term form of 36/48.","3/4","Easy","QL-009","ES-001","CP-001"
"Write 5/7 after cancelling common factors.","5/7","Hard","QL-008","ES-001","CP-001"
"Find the simplified form of 3/8.","3/8","Medium","QL-005","ES-001","CP-001"
"Express 11/6 as a simplified fraction.","11/6","Easy","QL-010","ES-001","CP-001"
"Find the simplified form of 36/48.","3/4","Medium","QL-005","ES-001","CP-001"
"Express 5/7 as a simplified fraction.","5/7","Hard","QL-010","ES-001","CP-001"
"Find the lowest term form of 3/8.","3/8","Medium","QL-009","ES-001","CP-001"
"Express 3/8 in simplest form.","3/8","Medium","QL-003","ES-001","CP-001"
"Reduce 5/7 to its lowest terms.","5/7","Hard","QL-002","ES-001","CP-001"
"Simplify the given fraction: 36/48.","3/4","Easy","QL-007","ES-001","CP-001"
"Express 11/6 as a simplified fraction.","11/6","Medium","QL-010","ES-001","CP-001"
"Find the lowest term form of 3/8.","3/8","Easy","QL-009","ES-001","CP-001"
"Write 5/7 after cancelling common factors.","5/7","Medium","QL-008","ES-001","CP-001"
"Express 36/48 in simplest form.","3/4","Hard","QL-003","ES-001","CP-001"
"Express 11/6 as a simplified fraction.","11/6","Hard","QL-010","ES-001","CP-001"
"Find the lowest term form of 3/8.","3/8","Easy","QL-009","ES-001","CP-001"
"Reduce 5/7 to its lowest terms.","5/7","Medium","QL-002","ES-001","CP-001"
"Reduce 11/6 to its lowest terms.","11/6","Hard","QL-002","ES-001","CP-001"
"Find the simplified form of 36/48.","3/4","Medium","QL-005","ES-001","CP-001"
"Reduce 5/7 to its lowest terms.","5/7","Easy","QL-002","ES-001","CP-001"
"Express 3/8 in simplest form.","3/8","Easy","QL-003","ES-001","CP-001"
"Write 11/6 in lowest form.","11/6","Hard","QL-004","ES-001","CP-001"
"Express 36/48 in simplest form.","3/4","Medium","QL-003","ES-001","CP-001"
"Write 5/7 in lowest form.","5/7","Medium","QL-004","ES-001","CP-001"
"Simplify the given fraction: 3/8.","3/8","Medium","QL-007","ES-001","CP-001"
"Write 11/6 after cancelling common factors.","11/6","Easy","QL-008","ES-001","CP-001"
"Express 36/48 in simplest form.","3/4","Medium","QL-003","ES-001","CP-001"
"Write 5/7 in lowest form.","5/7","Hard","QL-004","ES-001","CP-001"
"Find the lowest term form of 3/8.","3/8","Easy","QL-009","ES-001","CP-001"
"Write 11/6 after cancelling common factors.","11/6","Medium","QL-008","ES-001","CP-001"
"Find the lowest term form of 36/48.","3/4","Easy","QL-009","ES-001","CP-001"
"Reduce the fraction 5/7.","5/7","Medium","QL-006","ES-001","CP-001"
"Find the simplified form of 3/8.","3/8","Medium","QL-005","ES-001","CP-001"
"Write 11/6 in lowest form.","11/6","Hard","QL-004","ES-001","CP-001"
"Find the simplified form of 36/48.","3/4","Medium","QL-005","ES-001","CP-001"
"Write 5/7 in lowest form.","5/7","Hard","QL-004","ES-001","CP-001"
"Find the simplified form of 3/8.","3/8","Medium","QL-005","ES-001","CP-001"
"Simplify the given fraction: 36/48.","3/4","Easy","QL-007","ES-001","CP-001"
"Write 11/6 in lowest form.","11/6","Medium","QL-004","ES-001","CP-001"
"Find the simplified form of 3/8.","3/8","Hard","QL-005","ES-001","CP-001"
"Reduce the fraction 5/7.","5/7","Easy","QL-006","ES-001","CP-001"
"Simplify 36/48.","3/4","Easy","QL-001","ES-001","CP-001"
"Express 11/6 as a simplified fraction.","11/6","Medium","QL-010","ES-001","CP-001"
"Simplify 3/8.","3/8","Easy","QL-001","ES-001","CP-001"
"Write 5/7 in lowest form.","5/7","Hard","QL-004","ES-001","CP-001"
"Express 36/48 in simplest form.","3/4","Easy","QL-003","ES-001","CP-001"
"Express 11/6 as a simplified fraction.","11/6","Easy","QL-010","ES-001","CP-001"
"Write 11/6 after cancelling common factors.","11/6","Medium","QL-008","ES-001","CP-001"
"Find the lowest term form of 36/48.","3/4","Hard","QL-009","ES-001","CP-001"
"Reduce 5/7 to its lowest terms.","5/7","Medium","QL-002","ES-001","CP-001"
"Simplify the given fraction: 3/8.","3/8","Medium","QL-007","ES-001","CP-001"
"Write 11/6 after cancelling common factors.","11/6","Hard","QL-008","ES-001","CP-001"
"Find the simplified form of 36/48.","3/4","Medium","QL-005","ES-001","CP-001"
"Express 5/7 as a simplified fraction.","5/7","Easy","QL-010","ES-001","CP-001"
"Express 3/8 in simplest form.","3/8","Easy","QL-003","ES-001","CP-001"
"Write 11/6 after cancelling common factors.","11/6","Easy","QL-008","ES-001","CP-001"
"Simplify the given fraction: 36/48.","3/4","Easy","QL-007","ES-001","CP-001"
"Find the lowest term form of 3/8.","3/8","Medium","QL-009","ES-001","CP-001"
"Write 5/7 in lowest form.","5/7","Medium","QL-004","ES-001","CP-001"
"Find the lowest term form of 36/48.","3/4","Easy","QL-009","ES-001","CP-001"
"Express 11/6 as a simplified fraction.","11/6","Medium","QL-010","ES-001","CP-001"
"Simplify 3/8.","3/8","Hard","QL-001","ES-001","CP-001"
"Write 5/7 after cancelling common factors.","5/7","Medium","QL-008","ES-001","CP-001"
"Express 36/48 in simplest form.","3/4","Medium","QL-003","ES-001","CP-001"
"Reduce 11/6 to its lowest terms.","11/6","Medium","QL-002","ES-001","CP-001"
"Simplify 3/8.","3/8","Hard","QL-001","ES-001","CP-001"
"Write 5/7 after cancelling common factors.","5/7","Medium","QL-008","ES-001","CP-001"
"Write 5/7 after cancelling common factors.","5/7","Medium","QL-008","ES-001","CP-001"
"Find the simplified form of 3/8.","3/8","Hard","QL-005","ES-001","CP-001"
"Reduce the fraction 11/6.","11/6","Medium","QL-006","ES-001","CP-001"
"Simplify the given fraction: 36/48.","3/4","Medium","QL-007","ES-001","CP-001"
"Write 5/7 after cancelling common factors.","5/7","Medium","QL-008","ES-001","CP-001"
"Find the lowest term form of 3/8.","3/8","Medium","QL-009","ES-001","CP-001"
"Write 11/6 in lowest form.","11/6","Medium","QL-004","ES-001","CP-001"
"Find the lowest term form of 36/48.","3/4","Easy","QL-009","ES-001","CP-001"
"Write 5/7 after cancelling common factors.","5/7","Hard","QL-008","ES-001","CP-001"
