question,answer,difficulty,questionLanguageId,explanationId,canonicalProblemId
Find the relationship between 18 and 30 based on their common factors.,Not co-prime,Medium,QL-006,ES-001,CP-001
"Which of the following best describes the pair (14, 25)?",Co-prime pair,Medium,QL-031,ES-001,CP-001
"Which of the following best describes the pair (21, 35)?",Composite pair,Easy,QL-031,ES-001,CP-001
The HCF of 21 and 35 is:,7,Easy,QL-002,ES-001,CP-001
Find the HCF of 13 and 17.,1,Medium,QL-029,ES-001,CP-001
How many common factors do 13 and 28 have?,1,Easy,QL-030,ES-001,CP-001
"Which of the following best describes the pair (18, 30)?",Composite pair,Easy,QL-031,ES-001,CP-001
How many common factors do 14 and 25 have?,1,Hard,QL-030,ES-001,CP-001
Which of the following statements is correct regarding 13 and 17?,Co-prime,Medium,QL-001,ES-001,CP-001
"The pair (13, 28) is an example of:",Co-prime pair,Easy,QL-032,ES-001,CP-001
Find the HCF of 13 and 17.,1,Easy,QL-029,ES-001,CP-001
Find the relationship between 35 and 36 based on their common factors.,Co-prime,Medium,QL-006,ES-001,CP-001
The HCF of 35 and 36 is:,1,Hard,QL-002,ES-001,CP-001
How many common factors do 8 and 32 have?,4,Easy,QL-003,ES-001,CP-001
"The pair (13, 17) is an example of:",Co-prime pair,Easy,QL-032,ES-001,CP-001
Which of the following statements is correct regarding 21 and 35?,Not co-prime,Medium,QL-001,ES-001,CP-001
Find the relationship between 13 and 28 based on their common factors.,Co-prime,Easy,QL-006,ES-001,CP-001
How many common factors do 13 and 28 have?,1,Easy,QL-003,ES-001,CP-001
How many common factors do 13 and 17 have?,1,Easy,QL-030,ES-001,CP-001
Which of the following statements is correct regarding 21 and 35?,Not co-prime,Medium,QL-001,ES-001,CP-001
Find the relationship between 13 and 17 based on their common factors.,Co-prime,Easy,QL-006,ES-001,CP-001
How many common factors do 13 and 17 have?,1,Hard,QL-003,ES-001,CP-001
"The pair (14, 25) belongs to which category?",Co-prime pair,Medium,QL-005,ES-001,CP-001
How many common factors do 21 and 35 have?,2,Easy,QL-030,ES-001,CP-001
"Which of the following best describes the pair (13, 17)?",Co-prime pair,Easy,QL-031,ES-001,CP-001
How many common factors do 14 and 25 have?,1,Easy,QL-030,ES-001,CP-001
"Which of the following best describes the pair (8, 32)?",Composite pair,Hard,QL-031,ES-001,CP-001
"The pair (21, 35) is an example of:",Composite pair,Hard,QL-032,ES-001,CP-001
How many common factors do 35 and 36 have?,1,Medium,QL-003,ES-001,CP-001
"The pair (13, 17) is an example of:",Co-prime pair,Hard,QL-032,ES-001,CP-001
"Which of the following best describes the pair (18, 30)?",Composite pair,Medium,QL-031,ES-001,CP-001
Which of the following is true for 13 and 17?,1,Easy,QL-004,ES-001,CP-001
Find the relationship between 8 and 32 based on their common factors.,Not co-prime,Medium,QL-006,ES-001,CP-001
How many common factors do 13 and 28 have?,1,Easy,QL-003,ES-001,CP-001
How many common factors do 13 and 17 have?,1,Easy,QL-030,ES-001,CP-001
"Which of the following best describes the pair (21, 35)?",Composite pair,Medium,QL-031,ES-001,CP-001
Find the relationship between 8 and 32 based on their common factors.,Not co-prime,Hard,QL-006,ES-001,CP-001
"Which of the following best describes the pair (13, 28)?",Co-prime pair,Hard,QL-031,ES-001,CP-001
Which of the following is true for 8 and 32?,8,Medium,QL-004,ES-001,CP-001
"The pair (13, 28) belongs to which category?",Co-prime pair,Easy,QL-005,ES-001,CP-001
Which of the following is true for 35 and 36?,1,Medium,QL-004,ES-001,CP-001
Find the HCF of 21 and 35.,7,Medium,QL-029,ES-001,CP-001
Find the HCF of 13 and 17.,1,Easy,QL-029,ES-001,CP-001
"The pair (13, 28) is an example of:",Co-prime pair,Medium,QL-032,ES-001,CP-001
"The pair (14, 25) belongs to which category?",Co-prime pair,Easy,QL-005,ES-001,CP-001
Which of the following is true for 21 and 35?,7,Easy,QL-004,ES-001,CP-001
Which of the following statements is correct regarding 13 and 28?,Co-prime,Medium,QL-001,ES-001,CP-001
Which of the following is true for 35 and 36?,1,Hard,QL-004,ES-001,CP-001
Which of the following statements is correct regarding 13 and 28?,Co-prime,Medium,QL-001,ES-001,CP-001
"The pair (13, 17) is an example of:",Co-prime pair,Easy,QL-032,ES-001,CP-001
"The pair (18, 30) belongs to which category?",Composite pair,Medium,QL-005,ES-001,CP-001
Find the relationship between 14 and 25 based on their common factors.,Co-prime,Hard,QL-006,ES-001,CP-001
Find the relationship between 8 and 32 based on their common factors.,Not co-prime,Easy,QL-006,ES-001,CP-001
"The pair (35, 36) belongs to which category?",Co-prime pair,Easy,QL-005,ES-001,CP-001
Find the relationship between 13 and 17 based on their common factors.,Co-prime,Hard,QL-006,ES-001,CP-001
Which of the following statements is correct regarding 18 and 30?,Not co-prime,Medium,QL-001,ES-001,CP-001
The HCF of 13 and 17 is:,1,Easy,QL-002,ES-001,CP-001
Which of the following statements is correct regarding 21 and 35?,Not co-prime,Medium,QL-001,ES-001,CP-001
The HCF of 18 and 30 is:,6,Medium,QL-002,ES-001,CP-001
Find the HCF of 21 and 35.,7,Easy,QL-029,ES-001,CP-001
The HCF of 21 and 35 is:,7,Hard,QL-002,ES-001,CP-001
How many common factors do 8 and 32 have?,4,Easy,QL-003,ES-001,CP-001
Find the HCF of 8 and 32.,8,Medium,QL-029,ES-001,CP-001
How many common factors do 18 and 30 have?,4,Hard,QL-030,ES-001,CP-001
How many common factors do 8 and 32 have?,4,Easy,QL-003,ES-001,CP-001
"The pair (13, 17) is an example of:",Co-prime pair,Hard,QL-032,ES-001,CP-001
How many common factors do 21 and 35 have?,2,Medium,QL-003,ES-001,CP-001
The HCF of 18 and 30 is:,6,Hard,QL-002,ES-001,CP-001
"Which of the following best describes the pair (13, 28)?",Co-prime pair,Easy,QL-031,ES-001,CP-001
Find the relationship between 13 and 17 based on their common factors.,Co-prime,Easy,QL-006,ES-001,CP-001
"The pair (18, 30) belongs to which category?",Composite pair,Medium,QL-005,ES-001,CP-001
Find the relationship between 14 and 25 based on their common factors.,Co-prime,Medium,QL-006,ES-001,CP-001
Find the HCF of 13 and 17.,1,Hard,QL-029,ES-001,CP-001
Find the relationship between 35 and 36 based on their common factors.,Co-prime,Easy,QL-006,ES-001,CP-001
"The pair (13, 28) belongs to which category?",Co-prime pair,Medium,QL-005,ES-001,CP-001
The HCF of 21 and 35 is:,7,Easy,QL-002,ES-001,CP-001
How many common factors do 13 and 17 have?,1,Easy,QL-003,ES-001,CP-001
How many common factors do 35 and 36 have?,1,Medium,QL-030,ES-001,CP-001
Which of the following statements is correct regarding 18 and 30?,Not co-prime,Medium,QL-001,ES-001,CP-001
How many common factors do 35 and 36 have?,1,Easy,QL-030,ES-001,CP-001
How many common factors do 13 and 28 have?,1,Medium,QL-003,ES-001,CP-001
Which of the following is true for 18 and 30?,6,Easy,QL-004,ES-001,CP-001
Find the relationship between 21 and 35 based on their common factors.,Not co-prime,Easy,QL-006,ES-001,CP-001
Find the HCF of 18 and 30.,6,Medium,QL-029,ES-001,CP-001
How many common factors do 8 and 32 have?,4,Easy,QL-030,ES-001,CP-001
Which of the following statements is correct regarding 13 and 17?,Co-prime,Medium,QL-001,ES-001,CP-001
The HCF of 13 and 28 is:,1,Hard,QL-002,ES-001,CP-001
How many common factors do 14 and 25 have?,1,Easy,QL-003,ES-001,CP-001
The HCF of 8 and 32 is:,8,Hard,QL-002,ES-001,CP-001
Which of the following statements is correct regarding 13 and 28?,Co-prime,Hard,QL-001,ES-001,CP-001
Which of the following is true for 35 and 36?,1,Medium,QL-004,ES-001,CP-001
Which of the following statements is correct regarding 13 and 17?,Co-prime,Hard,QL-001,ES-001,CP-001
How many common factors do 14 and 25 have?,1,Easy,QL-003,ES-001,CP-001
The HCF of 21 and 35 is:,7,Medium,QL-002,ES-001,CP-001
"The pair (13, 17) belongs to which category?",Co-prime pair,Medium,QL-005,ES-001,CP-001
Which of the following is true for 18 and 30?,6,Medium,QL-004,ES-001,CP-001
"Which of the following best describes the pair (18, 30)?",Composite pair,Hard,QL-031,ES-001,CP-001
How many common factors do 18 and 30 have?,4,Easy,QL-030,ES-001,CP-001
Which of the following statements is correct regarding 18 and 30?,Not co-prime,Easy,QL-001,ES-001,CP-001
How many common factors do 14 and 25 have?,1,Medium,QL-030,ES-001,CP-001
"The pair (13, 28) belongs to which category?",Co-prime pair,Easy,QL-005,ES-001,CP-001
How many common factors do 13 and 28 have?,1,Easy,QL-030,ES-001,CP-001
The HCF of 8 and 32 is:,8,Medium,QL-002,ES-001,CP-001
"The pair (35, 36) belongs to which category?",Co-prime pair,Medium,QL-005,ES-001,CP-001
"The pair (18, 30) is an example of:",Composite pair,Easy,QL-032,ES-001,CP-001
Find the HCF of 21 and 35.,7,Hard,QL-029,ES-001,CP-001
Find the relationship between 18 and 30 based on their common factors.,Not co-prime,Medium,QL-006,ES-001,CP-001
Which of the following statements is correct regarding 13 and 17?,Co-prime,Medium,QL-001,ES-001,CP-001
Which of the following is true for 21 and 35?,7,Easy,QL-004,ES-001,CP-001
Which of the following statements is correct regarding 13 and 17?,Co-prime,Hard,QL-001,ES-001,CP-001
How many common factors do 13 and 17 have?,1,Hard,QL-030,ES-001,CP-001
"Which of the following best describes the pair (18, 30)?",Composite pair,Hard,QL-031,ES-001,CP-001
"The pair (13, 28) belongs to which category?",Co-prime pair,Medium,QL-005,ES-001,CP-001
"The pair (14, 25) is an example of:",Co-prime pair,Medium,QL-032,ES-001,CP-001
Which of the following statements is correct regarding 18 and 30?,Not co-prime,Medium,QL-001,ES-001,CP-001
"The pair (13, 17) is an example of:",Co-prime pair,Hard,QL-032,ES-001,CP-001
Find the HCF of 13 and 17.,1,Medium,QL-029,ES-001,CP-001
The HCF of 13 and 28 is:,1,Hard,QL-002,ES-001,CP-001
Find the HCF of 18 and 30.,6,Medium,QL-029,ES-001,CP-001
Which of the following is true for 13 and 17?,1,Easy,QL-004,ES-001,CP-001
Which of the following statements is correct regarding 35 and 36?,Co-prime,Hard,QL-001,ES-001,CP-001
Which of the following is true for 13 and 28?,1,Easy,QL-004,ES-001,CP-001
The HCF of 14 and 25 is:,1,Easy,QL-002,ES-001,CP-001
"Which of the following best describes the pair (14, 25)?",Co-prime pair,Easy,QL-031,ES-001,CP-001
How many common factors do 35 and 36 have?,1,Medium,QL-030,ES-001,CP-001
"The pair (14, 25) belongs to which category?",Co-prime pair,Medium,QL-005,ES-001,CP-001
The HCF of 13 and 28 is:,1,Medium,QL-002,ES-001,CP-001
Find the HCF of 35 and 36.,1,Easy,QL-029,ES-001,CP-001
Which of the following is true for 8 and 32?,8,Hard,QL-004,ES-001,CP-001
"Which of the following best describes the pair (14, 25)?",Co-prime pair,Hard,QL-031,ES-001,CP-001
How many common factors do 21 and 35 have?,2,Easy,QL-030,ES-001,CP-001
"Which of the following best describes the pair (13, 17)?",Co-prime pair,Easy,QL-031,ES-001,CP-001
"The pair (35, 36) belongs to which category?",Co-prime pair,Medium,QL-005,ES-001,CP-001
How many common factors do 18 and 30 have?,4,Medium,QL-030,ES-001,CP-001
"The pair (8, 32) belongs to which category?",Composite pair,Medium,QL-005,ES-001,CP-001
Which of the following is true for 21 and 35?,7,Easy,QL-004,ES-001,CP-001
How many common factors do 35 and 36 have?,1,Medium,QL-003,ES-001,CP-001
"The pair (13, 17) is an example of:",Co-prime pair,Medium,QL-032,ES-001,CP-001
Which of the following statements is correct regarding 13 and 28?,Co-prime,Hard,QL-001,ES-001,CP-001
How many common factors do 21 and 35 have?,2,Easy,QL-030,ES-001,CP-001
How many common factors do 21 and 35 have?,2,Easy,QL-003,ES-001,CP-001
"The pair (14, 25) is an example of:",Co-prime pair,Hard,QL-032,ES-001,CP-001
"The pair (21, 35) is an example of:",Composite pair,Medium,QL-032,ES-001,CP-001
How many common factors do 35 and 36 have?,1,Medium,QL-003,ES-001,CP-001
Which of the following is true for 21 and 35?,7,Hard,QL-004,ES-001,CP-001
Which of the following statements is correct regarding 14 and 25?,Co-prime,Medium,QL-001,ES-001,CP-001
Find the relationship between 8 and 32 based on their common factors.,Not co-prime,Medium,QL-006,ES-001,CP-001
Which of the following statements is correct regarding 13 and 28?,Co-prime,Medium,QL-001,ES-001,CP-001
Which of the following is true for 13 and 17?,1,Easy,QL-004,ES-001,CP-001
Find the HCF of 18 and 30.,6,Easy,QL-029,ES-001,CP-001
The HCF of 13 and 17 is:,1,Medium,QL-002,ES-001,CP-001
"Which of the following best describes the pair (18, 30)?",Composite pair,Easy,QL-031,ES-001,CP-001
How many common factors do 8 and 32 have?,4,Easy,QL-003,ES-001,CP-001
Find the relationship between 13 and 28 based on their common factors.,Co-prime,Medium,QL-006,ES-001,CP-001
"The pair (13, 17) belongs to which category?",Co-prime pair,Easy,QL-005,ES-001,CP-001
Find the relationship between 35 and 36 based on their common factors.,Co-prime,Hard,QL-006,ES-001,CP-001
Find the HCF of 8 and 32.,8,Medium,QL-029,ES-001,CP-001
Which of the following is true for 13 and 17?,1,Medium,QL-004,ES-001,CP-001
"The pair (8, 32) belongs to which category?",Composite pair,Hard,QL-005,ES-001,CP-001
The HCF of 13 and 28 is:,1,Medium,QL-002,ES-001,CP-001
How many common factors do 13 and 17 have?,1,Medium,QL-003,ES-001,CP-001
"The pair (8, 32) is an example of:",Composite pair,Easy,QL-032,ES-001,CP-001
"The pair (13, 28) is an example of:",Co-prime pair,Easy,QL-032,ES-001,CP-001
Which of the following statements is correct regarding 14 and 25?,Co-prime,Hard,QL-001,ES-001,CP-001
Find the relationship between 13 and 28 based on their common factors.,Co-prime,Medium,QL-006,ES-001,CP-001
Find the HCF of 14 and 25.,1,Medium,QL-029,ES-001,CP-001
Find the relationship between 8 and 32 based on their common factors.,Not co-prime,Hard,QL-006,ES-001,CP-001
Find the HCF of 13 and 28.,1,Medium,QL-029,ES-001,CP-001
Which of the following is true for 18 and 30?,6,Easy,QL-004,ES-001,CP-001
Which of the following statements is correct regarding 21 and 35?,Not co-prime,Easy,QL-001,ES-001,CP-001
"The pair (21, 35) is an example of:",Composite pair,Easy,QL-032,ES-001,CP-001
"Which of the following best describes the pair (35, 36)?",Co-prime pair,Medium,QL-031,ES-001,CP-001
How many common factors do 14 and 25 have?,1,Hard,QL-030,ES-001,CP-001
"The pair (14, 25) belongs to which category?",Co-prime pair,Easy,QL-005,ES-001,CP-001
"The pair (8, 32) is an example of:",Composite pair,Hard,QL-032,ES-001,CP-001
Find the HCF of 8 and 32.,8,Easy,QL-029,ES-001,CP-001
How many common factors do 13 and 17 have?,1,Medium,QL-030,ES-001,CP-001
"Which of the following best describes the pair (21, 35)?",Composite pair,Medium,QL-031,ES-001,CP-001
Find the relationship between 8 and 32 based on their common factors.,Not co-prime,Medium,QL-006,ES-001,CP-001
Find the HCF of 13 and 28.,1,Medium,QL-029,ES-001,CP-001
Which of the following is true for 21 and 35?,7,Easy,QL-004,ES-001,CP-001
Find the HCF of 13 and 28.,1,Hard,QL-029,ES-001,CP-001
How many common factors do 18 and 30 have?,4,Hard,QL-003,ES-001,CP-001
"The pair (8, 32) is an example of:",Composite pair,Easy,QL-032,ES-001,CP-001
Find the HCF of 35 and 36.,1,Medium,QL-029,ES-001,CP-001
Find the relationship between 13 and 28 based on their common factors.,Co-prime,Medium,QL-006,ES-001,CP-001
Find the HCF of 18 and 30.,6,Easy,QL-029,ES-001,CP-001
Which of the following is true for 8 and 32?,8,Medium,QL-004,ES-001,CP-001
Which of the following statements is correct regarding 13 and 17?,Co-prime,Easy,QL-001,ES-001,CP-001
The HCF of 13 and 28 is:,1,Medium,QL-002,ES-001,CP-001
Which of the following statements is correct regarding 13 and 17?,Co-prime,Medium,QL-001,ES-001,CP-001
How many common factors do 35 and 36 have?,1,Medium,QL-030,ES-001,CP-001
"The pair (13, 17) is an example of:",Co-prime pair,Medium,QL-032,ES-001,CP-001
Which of the following statements is correct regarding 18 and 30?,Not co-prime,Easy,QL-001,ES-001,CP-001
How many common factors do 14 and 25 have?,1,Hard,QL-030,ES-001,CP-001
"The pair (13, 28) belongs to which category?",Co-prime pair,Hard,QL-005,ES-001,CP-001
Which of the following is true for 18 and 30?,6,Medium,QL-004,ES-001,CP-001
"The pair (35, 36) belongs to which category?",Co-prime pair,Medium,QL-005,ES-001,CP-001
"The pair (18, 30) is an example of:",Composite pair,Easy,QL-032,ES-001,CP-001
Which of the following statements is correct regarding 35 and 36?,Co-prime,Easy,QL-001,ES-001,CP-001
"The pair (13, 28) is an example of:",Co-prime pair,Medium,QL-032,ES-001,CP-001
"The pair (21, 35) belongs to which category?",Composite pair,Easy,QL-005,ES-001,CP-001
Which of the following statements is correct regarding 13 and 17?,Co-prime,Easy,QL-001,ES-001,CP-001
How many common factors do 21 and 35 have?,2,Easy,QL-030,ES-001,CP-001
"Which of the following best describes the pair (13, 17)?",Co-prime pair,Medium,QL-031,ES-001,CP-001
Find the relationship between 18 and 30 based on their common factors.,Not co-prime,Easy,QL-006,ES-001,CP-001
Find the HCF of 13 and 17.,1,Hard,QL-029,ES-001,CP-001
"The pair (18, 30) is an example of:",Composite pair,Easy,QL-032,ES-001,CP-001
"Which of the following best describes the pair (14, 25)?",Co-prime pair,Hard,QL-031,ES-001,CP-001
"The pair (21, 35) is an example of:",Composite pair,Medium,QL-032,ES-001,CP-001
Which of the following statements is correct regarding 21 and 35?,Not co-prime,Hard,QL-001,ES-001,CP-001
"The pair (13, 17) is an example of:",Co-prime pair,Easy,QL-032,ES-001,CP-001
